Road Code,From (km),To (km),Depot,EE,CE,Province,Count
A0004,37280,61075,Kaluaggala,Avissawella,Colombo,Western Province,
A0004,61075,99385,Parakaduwa,Ratnapura,Ratnapura,Sabaragamuwa Province,
A0004,99385,105315,Malwala,Ratnapura,Ratnapura,Sabaragamuwa Province,
A0004,105315,130240,Madampe,Pelmadulla,Ratnapura,Sabaragamuwa Province,
A0004,130240,145200,Horaketiya,Pelmadulla,Ratnapura,Sabaragamuwa Province,
A0004,145200,167800,Pagal owita,Pelmadulla,Ratnapura,Sabaragamuwa Province,
A0004,167800,213815,Ella,Bandarawela,Badulla,UVA Province,
A0004,213815,259350,Pelwatta,Monaragala,Monaragala,UVA Province,
A0004,259350,293020,Siyambalanduwa,Bibile,Monaragala,UVA Province,
A0004,293020,335250,Pottuvil,Akkaraipattu,Akkaraipattu,Add.P Akkaraipattu,
A0004,335250,364060,Thirukkovil,Akkaraipattu,Akkaraipattu,Add.P Akkaraipattu,
A0004,364060,368000,Akkaraipattu,Akkaraipattu,Akkaraipattu,Add.P Akkaraipattu,
A0004,368000,391430,Chavalakadi,Kalmunai,Akkaraipattu,Add.P Akkaraipattu,
A0004,391430,417930,Kalawanchikudi,Batticaloa,Batticaloa,Eastern Province,
A0004,417930,426115,Pilleyardi,Batticaloa,Batticaloa,Eastern Province,
A0005,0,31870,Meewathura,Kadugannawa,Kandy,Central Province,
A0005,31870,58520,Ramboda,Nuwara Eliya,Nuwara Eliya,Central Province,2.0
A0005,58520,75740,Bambarakale,Nuwara Eliya,Nuwara Eliya,Central Province,
A0005,75740,92420,Mirahawatta,Bandarawela,Badulla,UVA Province,
A0005,92420,122570,Hali-Ela,Badulla,Badulla,UVA Province,
A0005,122570,159840,Debadda,Badulla,Badulla,UVA Province,
A0005,159840,199920,Bibile ,Bibile,Monaragala,UVA Province,
A0005,199920,239225,Padiyatalawa ,Dehiatthakandiya,Ampara,Add.P Akkaraipattu,
A0005,239225,271620,Pilleyardi,Batticaloa,Batticaloa,Eastern Province,
A0006,0,7070,Warakapola,Kegalle,Kegalle,Sabaragamuwa Province,
A0006,7070,29900,Bulugolla,Kurunegala,Kurunegala,North Western Province,1.0
A0006,29900,42835,Kurunegala,Kurunegala,Kurunegala,North Western Province,
A0006,42835,68920,Kiribamuna,Kurunegala,Kurunegala,North Western Province,
A0006,68920,84721,Beligamuwa,Nalanda,Matale,Central Province,
A0006,84721,107740,Inamaluwa,Nalanda,Matale,Central Province,2.0
A0006,107740,147190,Ambagaswewa,Habarana,Polonnaruwa,North Central Province,
A0006,147190,174680,Kanthale,Trincomalee,Trincomalee,Eastern Province,
A0006,174680,192690,"Thamealaegamam
",Trincomalee,Trincomalee,Eastern Province,
A0006,192690,198580,Town depot (Trincomalee),Trincomalee,Trincomalee,Eastern Province,
A0007,0,650,Kaluaggala,Avissawella,Colombo,Western Province,
A0007,650,13940,Dehiowita,Ruwanwella,Kegalle,Sabaragamuwa Province,
A0007,13940,41130,Yatiyanthota,Ruwanwella,Kegalle,Sabaragamuwa Province,
A0007,41130,57850,Norton Bridge,Norwood,Nuwara Eliya,Central Province,2.0
A0007,57850,84750,Kotagala,Norwood,Nuwara Eliya,Central Province,1.0
A0007,84750,115360,Summerset,Nuwara Eliya,Nuwara Eliya,Central Province,
A0008,0,6000,Panadura,Kalutara,Kalutara,Western Province,
A0008,6000,14020,Bandaragama,Kalutara,Kalutara,Western Province,
A0008,14020,20020,Madurawala,Horana,Kalutara,Western Province,
A0008,20020,36370,Ingiriya,Horana,Kalutara,Western Province,
A0008,36370,67380,Epitawala,Ratnapura,Ratnapura,Sabaragamuwa Province,
A0009,0,4525,Gatambe,Kandy,Kandy,Central Province,
A0009,4525,17200,Malpana,Kundasale,Kandy,Central Province,2.0
A0009,17200,26500,Matale,Matale,Matale,Central Province,1.0
A0009,26500,46085,Dombawela,Matale,Matale,Central Province,1.0
A0009,46085,67500,Nalanda,Nalanda,Matale,Central Province,
A0009,67500,76540,Inamaluwa,Nalanda,Matale,Central Province,
A0009,76540,121630,Maradankadawala,Maradankadawala,Anuradhapura,North Central Province,
A0009,121630,141160,Seeppkulama,Anuradhapura,Anuradhapura,North Central Province,
A0009,141160,168170,Medawacchiya,Medawachchiya,Anuradhapura,North Central Province,2.0
A0009,168170,190020,Vavuniya,Vavuniya,Vavuniya,Northern Province,
A0009,190020,222550,Kanagarayankulam,Vavuniya,Vavuniya,Northern Province,
A0009,222550,242290,Mankulam,Mullaitivu,Mullaitivu,Northern Province,
A0009,242290,253960,Kilinochchi town,Kilinochchi,Mullaitivu,Northern Province,
A0009,253960,287980,Paranthan,Kilinochchi,Mullaitivu,Northern Province,
A0009,287980,314050,Kaithadi,Point Pedro,Jaffna,Northern Province,
A0009,314050,321040,Jaffna,Jaffna,Jaffna,Northern Province,
A0010,0,16140,Aladeniya,Kandy,Kandy,Central Province,
A0010,16140,35070,Mawathagama,Kurunegala,Kurunegala,North Western Province,
A0010,35070,47070,Kurunegala,Kurunegala,Kurunegala,North Western Province,
A0010,47070,93840,Dunupathanga,Maho,Kurunegala,North Western Province,3.0
A0010,93840,105140,Anamaduwa,Puttalam,Chilaw,North Western Province,
A0010,105140,120090,Galkulama,Puttalam,Chilaw,North Western Province,
A0010,120090,124365,Puttalam,Puttalam,Chilaw,North Western Province,
A0011,0,5000,Maradankadawala,Maradankadawala,Anuradhapura,North Central Province,2.0
A0011,5000,13010,Heenukkiriyawa,Maradankadawala,Anuradhapura,North Central Province,
A0011,13010,44070,Ambagaswewa,Habarana,Polonnaruwa,North Central Province,
A0011,44070,64095,Minneriya,Habarana,Polonnaruwa,North Central Province,
A0011,64095,80420,Kaduruwela,Polonnaruwa,Polonnaruwa,North Central Province,1.0
A0011,80420,108820,Manampitiya,Polonnaruwa,Polonnaruwa,North Central Province,
A0011,108820,128420,Kalawanchikudi,Batticaloa,Batticaloa,Eastern Province,
A0012,0,3195,Puttalam,Puttalam,Chilaw,North Western Province,
A0012,3195,37270,Karuwalagaswewa,Puttalam,Chilaw,North Western Province,
A0012,37270,63645,Sinharagama,Anuradhapura,Anuradhapura,North Central Province,
A0012,63645,77655,Thisa Wewa,Anuradhapura,Anuradhapura,North Central Province,1.0
A0012,77655,81905,Mankadawala,Anuradhapura,Anuradhapura,North Central Province,
A0012,81905,108245,Seeppukulama,Anuradhapura,Anuradhapura,North Central Province,
A0012,108245,119625,Kahatagasdigiliya,Medawachchiya,Anuradhapura,North Central Province,
A0012,119625,142815,Horawpathana,Medawachchiya,Anuradhapura,North Central Province,
A0012,142815,164650,Nochchikulam,Trincomalee,Trincomalee,Eastern Province,
A0012,164650,179400,Kanniya,Trincomalee,Trincomalee,Eastern Province,
A0013,0,5900,Mankadawala,Anuradhapura,Anuradhapura,North Central Province,
A0013,5900,16520,Thisa Wewa,Anuradhapura,Anuradhapura,North Central Province,
A0014,0,14500,Medawacchiya,Medawachchiya,Anuradhapura,North Central Province,2.0
A0014,14500,43890,Cheddikulam,Vavuniya,Vavuniya,Northern Province,
A0014,43890,54035,Madhu,Mannar,Vavuniya,Northern Province,1.0
A0014,54035,79960,Murunkan,Mannar,Vavuniya,Northern Province,5.0
A0014,79960,87675,Mannar town,Mannar,Vavuniya,Northern Province,3.0
A0014,87675,114825,Thalai mannar,Mannar,Vavuniya,Northern Province,2.0
A0015,0,15940,Pilleyardi,Batticaloa,Batticaloa,Eastern Province,
A0015,15940,78210,Walachchena,Batticaloa,Batticaloa,Eastern Province,
A0015,78210,94500,Mavatichenai,Trincomalee,Trincomalee,Eastern Province,
A0015,94500,113990,Muthur,Trincomalee,Trincomalee,Eastern Province,
A0015,113990,131460,Chinabay,Trincomalee,Trincomalee,Eastern Province,
A0016,0,25400,Ella,Bandarawela,Badulla,UVA Province,
A0016,25400,38200,Hali-Ela,Badulla,Badulla,UVA Province,
A0017,0,17870,Nugaduwa,Galle,Galle,Southern Province,
A0017,17870,23995,Weligama,Matara,Matara,Southern Province,
A0017,23995,58700,Indikatudeniya,Deniyaya,Matara,Southern Province,29.0
A0017,58700,86490,Porupitiya,Deniyaya,Matara,Southern Province,2.0
A0017,86490,112135,Ulhiduwawa sub,Embilipitiya,Ratnapura,Sabaragamuwa Province,
A0017,112135,132850,Rakwana,Embilipitiya,Ratnapura,Sabaragamuwa Province,
A0017,132850,142480,Madampe,Pelmadulla,Ratnapura,Sabaragamuwa Province,
A0018,0,19950,Madampe,Pelmadulla,Ratnapura,Sabaragamuwa Province,
A0018,19950,49910,Balawinna,Embilipitiya,Ratnapura,Sabaragamuwa Province,22.0
A0018,49910,68060,Embilipitiya,Embilipitiya,Ratnapura,Sabaragamuwa Province,20.0
A0018,68060,84670,Tangalle,Tangalle,Hambantota,Southern Province,
A0019,0,2925,Bulugolla,Kurunegala,Kurunegala,North Western Province,
A0019,2925,11770,Dewalegama,Kegalle,Kegalle,Sabaragamuwa Province,
A0020,0,14470,Mankadawala,Anuradhapura,Anuradhapura,North Central Province,
A0021,0,580,Dewalegama,Kegalle,Kegalle,Sabaragamuwa Province,
A0021,580,15855,Hettimulla,Kegalle,Kegalle,Sabaragamuwa Province,
A0021,15855,35720,Weekada,Ruwanwella,Kegalle,Sabaragamuwa Province,
A0021,35720,41480,Morawatta,Ruwanwella,Kegalle,Sabaragamuwa Province,
A0022,0,7100,Debadda,Badulla,Badulla,UVA Province,
A0022,7100,26165,Bibile ,Bibile,Monaragala,UVA Province,
A0022,26165,32845,Pelwatta,Monaragala,Monaragala,UVA Province,1.0
A0023,0,14080,Pelwatta,Monaragala,Monaragala,UVA Province,
A0023,14080,30190,Ella,Bandarawela,Badulla,UVA Province,
A0024,0,15910,Weligama,Matara,Matara,Southern Province,
A0024,15910,20020,Indikatudeniya,Deniyaya,Matara,Southern Province,24.0
A0025,0,24070,Siyambalanduwa,Bibile,Monaragala,UVA Province,
A0025,24070,57280,Ampara,Ampara,Ampara,Add.P Akkaraipattu,1.0
A0026,0,4060,Tennekumbura,Kandy,Kandy,Central Province,1.0
A0026,4060,14015,Malpana,Kundasale,Kandy,Central Province,1.0
A0026,14015,54820,Udadumbara,Kundasale,Kandy,Central Province,1.0
A0026,54820,71180,Gurulupotha,Kundasale,Kandy,Central Province,
A0026,71180,97780,Mahiyanganaya,Mahiyanganaya,Badulla,UVA Province,
A0026,97780,101360,Padiyatalawa ,Dehiatthakandiya,Ampara,Add.P Akkaraipattu,
A0027,0,33025,Ampara,Ampara,Ampara,Add.P Akkaraipattu,
A0027,33025,57595,Padiyatalawa ,Dehiatthakandiya,Ampara,Add.P Akkaraipattu,
A0028,0,9000,Dunupathanga,Maho,Kurunegala,North Western Province,
A0028,9000,23990,Balalla,Maho,Kurunegala,North Western Province,2.0
A0028,23990,54135,Ambanpola,Maho,Kurunegala,North Western Province,1.0
A0028,54135,73960,Thalawa,Anuradhapura,Anuradhapura,North Central Province,
A0028,73960,80490,Thisa Wewa ,Anuradhapura,Anuradhapura,North Central Province,
A0029,0,9645,Vavuniya,Vavuniya,Vavuniya,Northern Province,
A0029,9645,34990,Kebithigollewa,Medawachchiya,Anuradhapura,North Central Province,
A0029,34990,46130,Horawpathana,Medawachchiya,Anuradhapura,North Central Province,
A0030,0,9890,Vavuniya,Vavuniya,Vavuniya,Northern Province,
A0030,9890,35630,Cheddikulam,Vavuniya,Vavuniya,Northern Province,
A0031,0,18070,Samanthurai,Kalmunai,Akkaraipattu,Add.P Akkaraipattu,
A0031,18070,22280,Ampara,Ampara,Ampara,Add.P Akkaraipattu,
A0032,0,17350,Kaithadi,Point Pedro,Jaffna,Northern Province,18.0
A0032,17350,61800,Nallur,Kilinochchi,Mullaitivu,Northern Province,
A0032,61800,80070,Vellankulam,Mannar,Vavuniya,Northern Province,
A0032,80070,104640,Mannar town,Mannar,Vavuniya,Northern Province,
A0033,0,6000,Ja-ela,Negambo,Gampaha,Western Province,
A0033,6000,18070,Gampaha,Gampaha,Gampaha,Western Province,
A0034,0,15975,Mankulam,Mullaitivu,Mullaitivu,Northern Province,
A0034,15975,37990,Oddusuddan,Mullaitivu,Mullaitivu,Northern Province,
A0034,37990,49030,Mulativu,Mullaitivu,Mullaitivu,Northern Province,
A0035,0,21790,Paranthan,Kilinochchi,Mullaitivu,Northern Province,
A0035,21790,52385,Mulativu,Mullaitivu,Mullaitivu,Northern Province,
B0001,0,18910,Akkaraipattu,Akkaraipattu,Akkaraipattu,Add.P Akkaraipattu,
B0002,0,18430,Thirukkovil,Akkaraipattu,Akkaraipattu,Add.P Akkaraipattu,
B0003,0,8249,Welewatta,Matara,Matara,Southern Province,
B0003,8249,13140,Indikatudeniya,Deniyaya,Matara,Southern Province,
B0004,0,7230,Indikatudeniya,Deniyaya,Matara,Southern Province,24.0
B0005,0,9560,Aladeniya,Kandy,Kandy,Central Province,
B0006,0,8650,Kadugannawa,Kadugannawa,Kandy,Central Province,
B0007,0,14320,Palipana,Kandy,Kandy,Central Province,
B0008,0,14650,Metiyagane,Kuliyapitiya,Kurunegala,North Western Province,26.0
B0009,0,14700,Metiyagane,Kuliyapitiya,Kurunegala,North Western Province,26.0
B0010,0,2210,Kanthale,Trincomalee,Trincomalee,Eastern Province,
B0010,2210,41360,Allai Kantale,Trincomalee,Trincomalee,Eastern Province,
B0011,0,1950,Ratmalana,Colombo,Colombo,Western Province,
B0012,0,4965,Gampaha,Gampaha,Gampaha,Western Province,
B0012,4965,7955,Minuwangoda,Gampaha,Gampaha,Western Province,
B0013,0,8240,Mandan,Point Pedro,Jaffna,Northern Province,13.0
B0014,0,15470,Karandeniya,Galle,Galle,Southern Province,27.0
B0014,15470,29600,Thalgaswala,Hiniduma,Galle,Southern Province,45.0
B0015,0,19080,Palipana,Kandy,Kandy,Central Province,
B0016,0,5540,Ampara,Ampara,Ampara,Add.P Akkaraipattu,
B0017,0,30570,Ampara,Ampara,Ampara,Add.P Akkaraipattu,
B0018,0,14865,Kalawanchikudi,Batticaloa,Batticaloa,Eastern Province,
B0018,14865,26910,Samanthurai,Kalmunai,Akkaraipattu,Add.P Akkaraipattu,
B0019,0,24180,Anamaduwa,Puttalam,Chilaw,North Western Province,
B0019,24180,39040,Ambanpola,Maho,Kurunegala,North Western Province,
B0020,0,240,,Gampaha,Gampaha,Western Province,
B0021,0,6450,Weerawila,Hambantota,Hambantota,Southern Province,
B0022,0,110,,Colombo,Colombo,Western Province,
B0023,0,28320,Chinabay,Trincomalee,Trincomalee,Eastern Province,
B0024,0,1590,Ratmalana,Colombo,Colombo,Western Province,
B0025,0,11390,Norton Bridge,Norwood,Nuwara Eliya,Central Province,1.0
B0026,0,970,Norton Bridge,Norwood,Nuwara Eliya,Central Province,1.0
B0027,0,282,Karandeniya,Galle,Galle,Southern Province,
B0027,0,160,Karandeniya,Galle,Galle,Southern Province,
B0027,0,600,Mankadawala,Anuradhapura,Anuradhapura,North Central Province,
B0027,0,112,Gatambe,Kandy,Kandy,Central Province,
B0027,0,1000,Ulapane,Kadugannawa,Kandy,Central Province,
B0027,0,350,Malpana,Kundasale,Kandy,Central Province,
B0027,0,110,Summerset,Nuwara Eliya,Nuwara Eliya,Central Province,
B0027,0,160,Summerset,Nuwara Eliya,Nuwara Eliya,Central Province,
B0027,0,150,Summerset,Nuwara Eliya,Nuwara Eliya,Central Province,
B0027,0,3300,Kotagala,Norwood,Nuwara Eliya,Central Province,
B0027,0,1850,Kotagala,Norwood,Nuwara Eliya,Central Province,
B0027,0,520,Kotagala,Norwood,Nuwara Eliya,Central Province,
B0027,0,360,Hali-Ela,Badulla,Badulla,UVA Province,
B0027,0,490,Hali-Ela,Badulla,Badulla,UVA Province,
B0027,0,400,Ja-ela,Negambo,Gampaha,Western Province,
B0027,0,240,Negambo unit ,Negambo,Gampaha,Western Province,
B0027,0,,Pilleyardi,Batticaloa,Batticaloa,Eastern Province,
B0027,0,1020,Town depot (Trincomalee),Trincomalee,Trincomalee,Eastern Province,
B0027,0,300,Ella,Bandarawela,Badulla,UVA Province,
B0027,0,200,Ella,Bandarawela,Badulla,UVA Province,
B0027,0,600,Pattiwila,Gampaha,Gampaha,Western Province,
B027(a),,,Malwala,Ratnapura,Ratnapura,Sabaragamuwa Province,
B027(b),,,Malwala,Ratnapura,Ratnapura,Sabaragamuwa Province,
B0028,0,7730,Sinharagama,Anuradhapura,Anuradhapura,North Central Province,
B0029,0,19310,Gatambe,Kandy,Kandy,Central Province,
B0030,0,900,Thisa Wewa,Anuradhapura,Anuradhapura,North Central Province,
B0030,0,400,Malpana,Kundasale,Kandy,Central Province,
B0030,0,310,Mankulam,Mullaitivu,Mullaitivu,Northern Province,
B0030,0,2200,Mannar town,Mannar,Vavuniya,Northern Province,
B0030,0,400,Kaithadi,Point Pedro,Jaffna,Northern Province,
B0030,0,50,Kaithadi,Point Pedro,Jaffna,Northern Province,
B0030,0,300,Mahiyanganaya,Mahiyanganaya,Badulla,UVA Province,
B0030,0,250,Chavalakadi,Kalmunai,Akkaraipattu,Add.P Akkaraipattu,
B0030,0,1650,Pattiwila,Gampaha,Gampaha,Western Province,
B0030,0,220,Pattiwila,Gampaha,Gampaha,Western Province,
B0030,0,200,Madampe,Pelmadulla,Ratnapura,Sabaragamuwa Province,
B0030,0,180,Ella,Bandarawela,Badulla,UVA Province,
B0030,0,190,Ella,Bandarawela,Badulla,UVA Province,
B0030,0,20,Ella,Bandarawela,Badulla,UVA Province,
B0030,0,80,Ella,Bandarawela,Badulla,UVA Province,
B0030,0,220,Kaluaggala,Avissawella,Colombo,Western Province,
B0030,0,950,Pilleyardi,Batticaloa,Batticaloa,Eastern Province,
B0031,0,5170,Samanthurai,Kalmunai,Akkaraipattu,Add.P Akkaraipattu,
B0032,0,1970,Ratmalana,Colombo,Colombo,Western Province,
B0033,0,5880,Jaffna,Jaffna,Jaffna,Northern Province,
B0034,0,16210,Kalawana,Ratnapura,Ratnapura,Sabaragamuwa Province,
B0035,0,56030,Pelwatta,Monaragala,Monaragala,UVA Province,
B0036,0,19965,Hali-Ela,Badulla,Badulla,UVA Province,
B0036,19965,47380,Mahiyanganaya,Mahiyanganaya,Badulla,UVA Province,
B0037,0,520,Nugaduwa,Galle,Galle,Southern Province,
B0038,0,2915,Horaketiya,Pelmadulla,Ratnapura,Sabaragamuwa Province,
B0038,2915,28380,Molamure,Pelmadulla,Ratnapura,Sabaragamuwa Province,
B0039,0,14130,Horaketiya,Pelmadulla,Ratnapura,Sabaragamuwa Province,
B0040,0,3410,Karandeniya,Galle,Galle,Southern Province,45.0
B0041,0,1090,Nugaduwa,Galle,Galle,Southern Province,
B0042,0,21358,Ella,Bandarawela,Badulla,UVA Province,
B0043,0,4900,Mirahawatta,Bandarawela,Badulla,UVA Province,
B0043,4900,16050,Hali-Ela,Badulla,Badulla,UVA Province,
B0044,0,20160,Mirahawatta,Bandarawela,Badulla,UVA Province,
B0045,0,24050,Chilaw,Chilaw,Chilaw,North Western Province,26.0
B0045,24050,30070,Andigama,Puttalam,Chilaw,North Western Province,
B0045,30070,38270,Anamaduwa,Puttalam,Chilaw,North Western Province,
B0046,0,4774,Pilleyardi,Batticaloa,Batticaloa,Eastern Province,
B0047,0,3680,Nawala ,Colombo,Colombo,Western Province,
B0047,3680,7420,Navinna,Colombo,Colombo,Western Province,
B0048,0,8610,Minneriya,Habarana,Polonnaruwa,North Central Province,
B0049,0,1400,Karandeniya,Galle,Galle,Southern Province,
B0050,0,120,Gampaha,Gampaha,Gampaha,Western Province,
B0051,0,550,Kurunegala,Kurunegala,Kurunegala,North Western Province,
B0052,0,2030,Vavuniya,Vavuniya,Vavuniya,Northern Province,
B0053,0,852,Mulativu,Mullaitivu,Mullaitivu,Northern Province,
B0054,0,15650,Tangalle,Tangalle,Hambantota,Southern Province,
B0055,0,26600,Karandeniya,Galle,Galle,Southern Province,
B0056,0,33030,Bibile ,Bibile,Monaragala,UVA Province,
B0057,0,11295,Bibile ,Bibile,Monaragala,UVA Province,
B0057,11291,39400,Mahiyanganaya,Mahiyanganaya,Badulla,UVA Province,
B0058,0,8045,Kadawatha,Gampaha,Gampaha,Western Province,
B0059,0,1860,Kokkawila,Chilaw,Chilaw,North Western Province,3.0
B0060,0,12100,Padaviya,Medawachchiya,Anuradhapura,North Central Province,1.0
B0060,12100,27664,Pulmuddai,Trincomalee,Trincomalee,Eastern Province,
B0061,0,1600,Nugaduwa,Galle,Galle,Southern Province,21.0
B0062,0,1220,Nawala ,Colombo,Colombo,Western Province,
B0063,0,5620,Mirigama,Nittambuwa,Gampaha,Western Province,
B0064,0,2410,Nalanda,Nalanda,Matale,Central Province,
B0065,0,6190,Koswattha,Kuliyapitiya,Kurunegala,North Western Province,
B0066,0,1990,Kadugannawa,Kadugannawa,Kandy,Central Province,
B0067,0,12080,Weekada,Ruwanwella,Kegalle,Sabaragamuwa Province,
B0068,0,9020,Kalawellawa,Horana,Kalutara,Western Province,
B0069,0,1325,Tennekumbura,Kandy,Kandy,Central Province,
B0070,0,1640,Gatambe,Kandy,Kandy,Central Province,
B0071,0,17335,Norton Bridge,Norwood,Nuwara Eliya,Central Province,1.0
B0071,17335,23330,Norwood,Norwood,Nuwara Eliya,Central Province,
B0072,0,70,Gampaha,Gampaha,Gampaha,Western Province,
B0073,0,12350,Ampara,Ampara,Ampara,Add.P Akkaraipattu,
B0074,0,5760,Kaithadi,Point Pedro,Jaffna,Northern Province,
B0075,0,9940,Kaithadi,Point Pedro,Jaffna,Northern Province,
B0075,9940,18885,Mandan,Point Pedro,Jaffna,Northern Province,
B0076,0,3430,Kaithadi,Point Pedro,Jaffna,Northern Province,
B0077,0,7835,Chavalakadi,Kalmunai,Akkaraipattu,Add.P Akkaraipattu,
B0078,0,1210,Negambo unit,Negambo,Gampaha,Western Province,
B0079,0,13120,Kokkawila,Chilaw,Chilaw,North Western Province,13.0
B0079,13120,44760,Koswattha,Kuliyapitiya,Kurunegala,North Western Province,
B0079,44760,51200,Dunupathanga,Maho,Kurunegala,North Western Province,
B0080,0,2531,Jaffna,Jaffna,Jaffna,Northern Province,
B0081,0,276,Jaffna,Jaffna,Jaffna,Northern Province,
B0082,0,6450,Kurunegala,Kurunegala,Kurunegala,North Western Province,
B0083,0,1114,Tangalle,Tangalle,Hambantota,Southern Province,
B0084,0,1065,CMC,Colombo,Colombo,Western Province,
B0084,1065,3455,Nawala ,Colombo,Colombo,Western Province,
B0084,3455,21645,Kesbewa,Avissawella,Colombo,Western Province,
B0084,21645,28198,Madurawala,Horana,Kalutara,Western Province,
B0085,0,380,Medawacchiya,Medawachchiya,Anuradhapura,North Central Province,
B0086,0,13110,Mahiyanganaya,Mahiyanganaya,Badulla,UVA Province,
B0087,0,8520,Bulugolla,Kurunegala,Kurunegala,North Western Province,
B0088,0,13085,Paragammana,Kuliyapitiya,Kurunegala,North Western Province,
B0089,0,22361,Balalla,Maho,Kurunegala,North Western Province,1.0
B0090,0,8050,Mirigama,Nittambuwa,Gampaha,Western Province,
B0091,0,6850,Meewathura,Kadugannawa,Kandy,Central Province,
B0092,0,5740,Samanthurai,Kalmunai,Akkaraipattu,Add.P Akkaraipattu,
B0093,0,27790,Dehiowita,Ruwanwella,Kegalle,Sabaragamuwa Province,
B0094,0,2870,Ratmalana,Colombo,Colombo,Western Province,
B0094,2870,7530,Navinna,Colombo,Colombo,Western Province,
B0095,0,1940,Pattiwila,Gampaha,Gampaha,Western Province,
B0095,1940,11990,Pugoda,Nittambuwa,Gampaha,Western Province,
B0096,0,590,CMC,Colombo,Colombo,Western Province,
B0096,590,2370,Orugodawatta,Colombo,Colombo,Western Province,
B0097,0,21280,Hali-Ela,Badulla,Badulla,UVA Province,
B0098,0,12007,Beragama,Deniyaya,Matara,Southern Province,29.0
B0099,0,7950,Porupitiya,Deniyaya,Matara,Southern Province,2.0
B0100,0,23450,Hali-Ela,Badulla,Badulla,UVA Province,
B0101,0,3970,Welewatta,Matara,Matara,Southern Province,
B0101,3970,12800,Tangalle,Tangalle,Hambantota,Southern Province,
B0102,0,2135,Ella,Bandarawela,Badulla,UVA Province,
B0103,0,2440,Ella,Bandarawela,Badulla,UVA Province,
B0104,0,3745,Ella,Bandarawela,Badulla,UVA Province,
B0105,0,5145,Ella,Bandarawela,Badulla,UVA Province,
B0106,0,3900,Baddegama,Galle,Galle,Southern Province,11.0
B0107,0,1080,Welewatta,Matara,Matara,Southern Province,
B0108,0,2950,Madampalla ,Negambo,Gampaha,Western Province,
B0108,2950,5750,Minuwangoda,Gampaha,Gampaha,Western Province,
B0109,0,3490,Nugaduwa,Galle,Galle,Southern Province,
B0110,0,3110,Parakaduwa,Ratnapura,Ratnapura,Sabaragamuwa Province,
B0110,3110,16460,Dehiowita,Ruwanwella,Kegalle,Sabaragamuwa Province,
B0111,0,2985,Ja-ela,Negambo,Gampaha,Western Province,
B0111,2985,15145,Minuwangoda,Gampaha,Gampaha,Western Province,
B0111,15145,27270,Madampalla ,Negambo,Gampaha,Western Province,
B0112,0,30025,Elahera,Habarana,Polonnaruwa,North Central Province,
B0112,30025,39925,Minneriya,Habarana,Polonnaruwa,North Central Province,
B0113,0,4870,Ella,Bandarawela,Badulla,UVA Province,
B0113,4870,26630,Debadda,Badulla,Badulla,UVA Province,
B0114,0,9290,Thalgaswala,Hiniduma,Galle,Southern Province,35.0
B0114,9290,27045,Horawala,Agalawatta,Kalutara,Western Province,
B0115,0,37750,Embilipitiya,Embilipitiya,Ratnapura,Sabaragamuwa Province,27.0
B0116,0,11130,Meewathura,Kadugannawa,Kandy,Central Province,
B0117,0,11375,Thalawa,Anuradhapura,Anuradhapura,North Central Province,
B0118,0,1012,Kadugannawa,Kadugannawa,Kandy,Central Province,
B0119,0,795,Mannar town,Mannar,Vavuniya,Northern Province,
B0120,0,5680,Nawala ,Colombo,Colombo,Western Province,
B0121,0,5180,Kadugannawa,Kadugannawa,Kandy,Central Province,
B0122,0,18505,Aladeniya,Kandy,Kandy,Central Province,
B0123,0,4785,Galagedara,Avissawella,Colombo,Western Province,
B0123,4785,14015,Ingiriya,Horana,Kalutara,Western Province,
B0123,14015,18615,Madurawala,Horana,Kalutara,Western Province,
B0124,0,6110,Molamure,Pelmadulla,Ratnapura,Sabaragamuwa Province,
B0125,0,27552,Gampola,Kadugannawa,Kandy,Central Province,
B0126,0,19990,Ambanpola,Maho,Kurunegala,North Western Province,
B0126,19990,24790,Koonwewa,Maho,Kurunegala,North Western Province,1.0
B0127,0,16320,Abanpitiya,Kegalle,Kegalle,Sabaragamuwa Province,
B0127,16319,21570,Weekada,Ruwanwella,Kegalle,Sabaragamuwa Province,
B0128,0,7070,Nugaduwa,Galle,Galle,Southern Province,
B0128,7070,18290,Baddegama,Galle,Galle,Southern Province,9.0
B0129,0,16000,Nugaduwa,Galle,Galle,Southern Province,19.0
B0129,16000,35030,Kottawa,Hiniduma,Galle,Southern Province,
B0130,0,7830,Nugaduwa,Galle,Galle,Southern Province,
B0131,0,7010,Ampara,Ampara,Galle,Add.P Akkaraipattu,
B0132,0,15180,Gampola,Kadugannawa,Kandy,Central Province,
B0133,0,27660,Heenukkiriyawa,Maradankadawala,Anuradhapura,North Central Province,
B0133,27660,46070,Kahatagasdigiliya,Medawachchiya,Anuradhapura,North Central Province,
B0134,0,2630,Navinna,Colombo,Colombo,Western Province,
B0135,0,4175,Meewathura,Kadugannawa,Kandy,Central Province,
B0136,0,14970,Hettimulla,Kegalle,Kegalle,Sabaragamuwa Province,
B0137,0,4530,Haldaduwana,Chilaw,Chilaw,North Western Province,
B0138,0,4320,Nugaduwa,Galle,Galle,Southern Province,
B0139,0,4440,Thalgaswala,Hiniduma,Galle,Southern Province,
B0140,0,1560,Town depot (Trincomalee),Trincomalee,Trincomalee,Eastern Province,
