Road Code,From (km),To (km),Depot,EE,CE,Province,Count
B0527,49740,59970,Ampara,Ampara,Ampara,Add.P Akkaraipattu,
B0528,0,40100,Bodagama,Monaragala,Monaragala,UVA Province,
B0528,40100,45130,Molamure,Pelmadulla,Ratnapura,Sabaragamuwa Province,
B0529,0,3370,Kaduruwela,Polonnaruwa,Polonnaruwa,North Central Province,
B0530,0,2050,Navinna,Colombo,Colombo,Western Province,
B0531,0,718,Nawala,Colombo,Colombo,Western Province,
B0532,0,430,Nawala,Colombo,Colombo,Western Province,
B0533,0,864,Nawala,Colombo,Colombo,Western Province,
B0534,0,260,Nawala,Colombo,Colombo,Western Province,
B0535,0,seemap,Welewatta,Matara,Matara,Southern Province,
B0536,0,8950,Welewatta,Matara,Matara,Southern Province,
B0537,0,5690,Aladeniya,Kandy,Kandy,Central Province,
B0538,0,7980,Kahatagasdigiliya,Medawachchiya,Anuradhapura,North Central Province,
B0538,7980,24270,Kebithigollewa,Medawachchiya,Anuradhapura,North Central Province,2.0
B0539,0,7795,Abanpitiya,Kegalle,Kegalle,Sabaragamuwa Province,
B0540,0,7075,Abanpitiya,Kegalle,Kegalle,Sabaragamuwa Province,
B0540,7075,13320,Warakapola,Kegalle,Kegalle,Sabaragamuwa Province,
B0541,0,7970,Thamealaegamam,Trincomalee,Trincomalee,Eastern Province,
B0541,7970,14920,Chinabay,Trincomalee,Trincomalee,Eastern Province,
B0542,0,1140,Pilleyardi,Batticaloa,Batticaloa,Eastern Province,
B0543,0,430,Pilleyardi,Batticaloa,Batticaloa,Eastern Province,
B0544,0,9770,Bellana,Agalawatta,Kalutara,Western Province,
B0545,0,940,Ratmalana,Colombo,Colombo,Western Province,
B0546,0,1140,Kadawatha,Gampaha,Gampaha,Western Province,
B0547,0,2500,Ratmalana,Colombo,Colombo,Western Province,
B0548,0,16135,Tangalle,Tangalle,Hambantota,Southern Province,
B0549,0,5700,Embilipitiya,Embilipitiya,Ratnapura,Sabaragamuwa Province,22.0
B0549,5700,16860,Bodagama,Monaragala,Monaragala,UVA Province,
B0550,0,2580,Tennekumbura,Kandy,Kandy,Central Province,
B0551,0,820,Tennekumbura,Kandy,Kandy,Central Province,
B0552,0,6170,Kaduruwela,Polonnaruwa,Polonnaruwa,North Central Province,
B0552,6170,12800,Minneriya,Habarana,Polonnaruwa,North Central Province,
B0553,0,170,Nawala,Colombo,Colombo,Western Province,
B0553,170,820,Navinna,Colombo,Colombo,Western Province,
B0554,0,2470,Ja-ela,Negambo,Gampaha,Western Province,
B0555,0,1600,Porupitiya,Deniyaya,Matara,Southern Province,1.0
B0556,0,8000,Maradankadawala,Maradankadawala,Anuradhapura,North Central Province,
B0556,8000,13260,Vijithapura,Maradankadawala,Anuradhapura,North Central Province,
B0557,0,560,Welewatta,Matara,Matara,Southern Province,
B0558,0,5940,Karandeniya,Galle,Galle,Southern Province,
B0559,0,820,Welewatta,Matara,Matara,Southern Province,
B0560,0,130,Ratmalana,Colombo,Colombo,Western Province,
B0561,0,860,Inamaluwa,Nalanda,Matale,Central Province,
B0562,0,23320,Uda malala,Hambantota,Hambantota,Southern Province,
B0563,0,8380,Uda malala,Hambantota,Hambantota,Southern Province,
B0563,8380,12000,Embilipitiya,Embilipitiya,Ratnapura,Sabaragamuwa Province,18.0
B0564,0,13780,Sinharagama,Anuradhapura,Anuradhapura,North Central Province,
B0565,0,360,Tangalle,Tangalle,Hambantota,Southern Province,
B0566,0,3820,Tangalle,Tangalle,Hambantota,Southern Province,
B0567,0,23530,Weerawila,Hambantota,Hambantota,Southern Province,
B0568,0,2185,Vijithapura,Maradankadawala,Anuradhapura,North Central Province,
B0568,2185,14120,Ambanpola,Maho,Kurunegala,North Western Province,
B0569,0,800,Gampaha,Gampaha,Gampaha,Western Province,
B0570,0,5410,Gampaha,Gampaha,Gampaha,Western Province,
B0571,0,1130,Akkaraipattu,Akkaraipattu,Akkaraipattu,Add.P Akkaraipattu,
B0572,0,9730,Akkaraipattu,Akkaraipattu,Akkaraipattu,Add.P Akkaraipattu,
B0573,0,22930,Akkaraipattu,Akkaraipattu,Akkaraipattu,Add.P Akkaraipattu,
B0574,0,2180,Akkaraipattu,Akkaraipattu,Akkaraipattu,Add.P Akkaraipattu,
B0575,0,5210,Chavalakadi,Kalmunai,Akkaraipattu,Add.P Akkaraipattu,
B0576,0,1330,Akkaraipattu,Akkaraipattu,Akkaraipattu,Add.P Akkaraipattu,
B0577,0,6320,Mahiyanganaya,Mahiyanganaya,Badulla,UVA Province,
B0577,6320,12210,Hettipola,Nalanda,Matale,Central Province,
B0578,0,8240,Nugaduwa,Galle,Galle,Southern Province,43.0
