Road Number,Class,Name,From (m),To (m),Length (m),Deport,Deport Code,EE,EE Code,CE,CE Code,Province,Prov Code
B0046,B,Bar Road - Batticaloa,0,4774,4774,Pilleyardi,05112,Batticaloa,0511,Batticaloa,051,Eastern Province,05
B0047,B,Battaramulla - Pannipitiya,0,3680,3680,Nawala,01113,Colombo,0111,Colombo,011,Western Province,01
B0047,B,Battaramulla - Pannipitiya,3680,7420,3740,Navinna,01112,Colombo,0111,Colombo,011,Western Province,01
B0048,B,Batukotuwa - Medirigiriya,0,8610,8610,Minneriya,07223,Habarana,0722,Polonnaruwa,072,North Central Province,07
B0049,B,"Bazaar Street, Ambalangoda",0,1400,1400,Karandeniya,03112,Galle,0311,Galle,031,Southern Province,03
B0050,B,"Bazaar Street, Gampaha",0,120,120,Gampaha,01211,Gampaha,0121,Gampaha,012,Western Province,01
B0051,B,Bazzar Street and Edingburgh Street,0,550,550,Kurunegala,06114,Kurunegala,0611,Kurunegala,061,North Western Province,06
B0052,B,"Bazzar Street, Vavuniya",0,2030,2030,Vavuniya town,04214,Vavuniya,0421,Vavuniya,042,Northern Province,04
B0053,B,Beach Road Mullaitivu,0,852,852,Mulativu,04312,Mullaitivu,0431,Mullaitivu,043,Northern Province,04
B0054,B,Beliatta - Walasmulla,0,15650,15650,Tangalle,03311,Tangalle,0331,Hambantota,033,Southern Province,03
B0055,B,Bentara - Uragaha - Elpitiya,0,26600,26600,Karandeniya,03112,Galle,0311,Galle,031,Southern Province,03
B0056,B,Bibile - Medagama - Nakkala,0,33030,33030,Bibile,08221,Bibile,0822,Monaragala,082,UVA Province,08
B0057,B,Bibile - Uraniya - Mahiyangana,0,11295,11295,Bibile,08221,Bibile,0822,Monaragala,082,UVA Province,08
B0057,B,Bibile - Uraniya - Mahiyangana,11295,39400,28105,Mahiyanganaya,08131,Mahiyanganaya,0813,Badulla,081,UVA Province,08
B0058,B,Biyanwila - Ganemulla,0,8045,8045,Kadawatha,01212,Gampaha,0121,Gampaha,012,Western Province,01
B0059,B,Bo Tree Road,0,1860,1860,Kokkawila,06213,Chilaw,0621,Chilaw,062,North Western Province,06
B0060,B,Bogahawewa - Pulmuddai,0,12100,12100,Padaviya,07125,Medawachchiya,0712,Anuradhapura,071,North Central Province,07
B0060,B,Bogahawewa - Pulmuddai,12100,27664,15564,Pulmuddai,05219,Trincomalee,0521,Trincomalee,052,Eastern Province,05
B0061,B,Boossa - Hegoda,0,1600,1600,Nugaduwa,03113,Galle,0311,Galle,031,Southern Province,03
B0062,B,Borella - Rajagiriya (CMC Limits to Filling Station - Rajagiriya),0,1220,1220,Nawala,01113,Colombo,0111,Colombo,011,Western Province,01
B0063,B,Botale - Mirigama,0,5620,5620,Mirigama,01231,Nittambuwa,0123,Gampaha,012,Western Province,01
B0064,B,Bowatenna Access Road,0,2410,2410,Nalanda,02225,Nalanda,0222,Matale,022,Central Province,02
B0065,B,Bowatte - Padiwela,0,6190,6190,Koswattha,06132,Kuliyapitiya,0613,Kurunegala,061,North Western Province,06
B0066,B,Boyagama - Mandandawala,0,1990,1990,Kadugannawa,02132,Kadugannawa,0213,Kandy,021,Central Province,02
B0067,B,Bulathkohupitiya - Dedugala,0,12080,12080,Weekada,09223,Ruwanwella,0922,Kegalle,092,Sabaragamuwa Province,09
B0068,B,Ingiriya - Halwatura - Egaloya,0,9020,9020,Kalawellawa,01333,Horana,0133,Kalutara,013,Western Province,01
B0069,B,Buwelikada - Lewella,0,1325,1325,Tennekumbura,02114,Kandy,0211,Kandy,021,Central Province,02
B0070,B,By pass road via Asgiriya,0,1640,1640,Gatambe,02112,Kandy,0211,Kandy,021,Central Province,02
B0071,B,Carolina - Norton - Wanarajah,0,17335,17335,Norton Bridge,02324,Norwood,0232,Nuwara Eliya,023,Central Province,02
B0071,B,Carolina - Norton - Wanarajah,17335,23330,5995,Norwood,02325,Norwood,0232,Nuwara Eliya,023,Central Province,02
B0072,B,Cemetery Road (Gampaha),0,70,70,Gampaha,01211,Gampaha,0121,Gampaha,012,Western Province,01
B0073,B,Chadayantalawa - Uhana,0,12350,12350,Ampara,10111,Ampara,1011,Ampara,101,Add.P Akkaraipattu,10
B0074,B,Chavakachcheri - Kachchai,0,5760,5760,Kaithadi,04121,Point Pedro,0412,Jaffna,041,Northern Province,04
B0075,B,Chavakachcheri - Puloly,0,9940,9940,Kaithadi,04121,Point Pedro,0412,Jaffna,041,Northern Province,04
B0075,B,Chavakachcheri - Puloly,9940,18885,8945,Mandan,04122,Point Pedro,0412,Jaffna,041,Northern Province,04
B0076,B,Chavakachcheri - Thannankilappu,0,3430,3430,Kaithadi,04121,Point Pedro,0412,Jaffna,041,Northern Province,04
B0077,B,Chavalakadai - Chadayantalawa,0,7835,7835,Chavalakadi,10221,Kalmunai,1022,Akkaraipattu,102,Add.P Akkaraipattu,10
B0078,B,"Chilaw Road, Negombo",0,1210,1210,Negambo unit,01223,Negambo,0122,Gampaha,012,Western Province,01
B0079,B,Chilaw - Wariyapola,0,13120,13120,Kokkawila,06213,Chilaw,0621,Chilaw,062,North Western Province,06
B0079,B,Chilaw - Wariyapola,13120,44760,31640,Koswattha,06132,Kuliyapitiya,0613,Kurunegala,061,North Western Province,06
B0079,B,Chilaw - Wariyapola,44760,51200,6440,Dunupathanga,06123,Maho,0612,Kurunegala,061,North Western Province,06
B0080,B,Chundikuli - Colombouthurai,0,2531,2531,Jaffna,04112,Jaffna,0411,Jaffna,041,Northern Province,04
B0081,B,Chunnakam Power Station Road,0,276,276,Jaffna,04112,Jaffna,0411,Jaffna,041,Northern Province,04
B0082,B,Circular Road Kurunegala,0,9925,9925,Kurunegala,06114,Kurunegala,0611,Kurunegala,061,North Western Province,06
B0083,B,"Circular Road, Tangalle",0,1114,1114,Tangalle,03311,Tangalle,0331,Hambantota,033,Southern Province,03
B0084,B,Colombo - Horana,0,1065,1065,CMC,01110,Colombo,0111,Colombo,011,Western Province,01
B0084,B,Colombo - Horana,1065,3455,2390,Nawala,01113,Colombo,0111,Colombo,011,Western Province,01
B0084,B,Colombo - Horana,3455,21645,18190,Kesbewa,01124,Avissawella,0112,Colombo,011,Western Province,01
B0084,B,Colombo - Horana,21645,28198,6553,Madurawala,01331,Horana,0133,Kalutara,013,Western Province,01
B0085,B,Cross Road - Medawachchiya,0,380,380,Medawacchiya,07124,Medawachchiya,0712,Anuradhapura,071,North Central Province,07
B0086,B,Dambagahapitiya - Pinnagolla - Arawa - Meegahakiula,0,13110,13110,Mahiyanganaya,08131,Mahiyanganaya,0813,Badulla,081,UVA Province,08
B0087,B,Dambokka - Katupitiya,0,8520,8520,Bulugolla,06111,Kurunegala,0611,Kurunegala,061,North Western Province,06
B0088,B,Dandagamuwa - Udawela,0,13085,13085,Paragammana,06135,Kuliyapitiya,0613,Kurunegala,061,North Western Province,06
B0089,B,Danikittawa - Ambanpola,0,22361,22361,Balalla,06122,Maho,0612,Kurunegala,061,North Western Province,06
B0090,B,Danowita - Mirigama,0,8050,8050,Mirigama,01231,Nittambuwa,0123,Gampaha,012,Western Province,01
B0091,B,Daulagala - Watadeniya,0,6850,6850,Meewathura,02133,Kadugannawa,0213,Kandy,021,Central Province,02
B0092,B,Deegawapi Temple Road,0,5740,5740,Samanthurai,10222,Kalmunai,1022,Akkaraipattu,102,Add.P Akkaraipattu,10
